i,type,metal_or_pair,top_index,C_x,C_y,C_z,O_x,O_y,O_z,C-O_A,fx,fy
1,OCCO_C1,Cu1-Au53,,10.166040261320195,8.062494997794238,10.444304001322033,10.213848612857225,7.344959761105183,11.466731282664277,1.2499999999999996,0.44128829519145535,0.42785646688196316
2,OCCO_C2,Cu1-Au53,,10.092162375423456,9.17129679996355,11.375754816707104,10.066636195887435,9.554408383741114,12.565323616118782,1.2499999999999998,0.43808139796483675,0.486697808387081
3,spectator_CO,Cu,9,5.1515455704404,2.9225024784792915,10.492351209914954,5.1515455704404,2.9225024784792915,11.642351209914954,1.1500000000000004,0.2236187054098404,0.1550899052015563
4,spectator_CO,Cu,13,19.206486394491915,5.082409834759745,10.506197877257456,19.206486394491915,5.082409834759745,11.656197877257457,1.1500000000000004,0.8337167097292757,0.2697107924707382
5,spectator_CO,Cu,20,12.78951564096816,3.11809601997273,10.540903628369135,12.78951564096816,3.11809601997273,11.690903628369135,1.1500000000000004,0.5551683259608066,0.1654695657943639
6,spectator_CO,Cu,21,15.392938479984117,7.306321659481474,10.5424645822718,15.392938479984117,7.306321659481474,11.6924645822718,1.1500000000000004,0.6681779144298823,0.3877282369767847
7,spectator_CO,Cu,28,5.125211287843684,7.251087268677637,10.662970828938011,5.125211287843684,7.251087268677637,11.812970828938012,1.1500000000000004,0.2224755847479628,0.3847970858497238
8,spectator_CO,Cu,2,12.826300108009734,7.3894353202075305,10.444304001322033,12.826300108009734,7.3894353202075305,11.594304001322033,1.1500000000000004,0.5567650690715007,0.3921388713074237
9,spectator_CO,Cu,18,7.70161275114445,3.027236367646072,10.521089960751924,7.70161275114445,3.027236367646072,11.671089960751925,1.1500000000000004,0.3343122271616846,0.1606478710414068
10,spectator_CO,Cu,17,15.335572626522561,3.027236367646072,10.521089960751924,15.335572626522561,3.027236367646072,11.671089960751925,1.1500000000000004,0.6656877728383158,0.1606478710414068
11,spectator_CO,Au,57,18.775472382762842,14.728237873021229,11.409494755037214,18.775472382762842,14.728237873021229,12.559494755037214,1.1500000000000004,0.8150072187622537,0.7815907881458514
12,spectator_CO,Au,58,4.2617129949051336,14.728237873021229,11.409494755037214,4.2617129949051336,14.728237873021229,12.559494755037214,1.1500000000000004,0.1849927812377886,0.7815907881458514
